"Jahr";"Ebene";"kkname";"kkkoe";"kgname";"kgkoe";"ggfest";"dggfest";"gg";"dgg";"ggfr";"gg13";"gg14";"gg15";"ggzug";"gebu";"einwohn"
2018;"Kirchengemeinden";"Bielefeld";"19022";"KG Bethel-Zion";"1902239";3197;0.79;3199;0.72;1713;13;18;19;246;14;
2019;"Kirchengemeinden";"Bielefeld";"19022";"KG Bethel-Zion";"1902239";3117;-2.50;3116;-2.59;1674;23;13;18;282;17;
2020;"Kirchengemeinden";"Bielefeld";"19022";"KG Bethel-Zion";"1902239";2980;-4.40;2980;-4.36;1594;17;24;14;277;15;
2021;"Kirchengemeinden";"Bielefeld";"19022";"KG Bethel-Zion";"1902239";2930;-1.68;2928;-1.74;1576;16;16;22;269;21;
2014;"Kirchengemeinden";"Bielefeld";"19022";"KG Jöllenbeck";"1902242";10953;;10901;;5986;109;138;130;121;85;
2015;"Kirchengemeinden";"Bielefeld";"19022";"KG Jöllenbeck";"1902242";10685;-2.45;10685;-1.98;5858;114;106;141;131;79;
2016;"Kirchengemeinden";"Bielefeld";"19022";"KG Jöllenbeck";"1902242";10594;-0.85;10580;-0.98;5796;106;116;107;59;44;
2017;"Kirchengemeinden";"Bielefeld";"19022";"KG Jöllenbeck";"1902242";10370;-2.11;10383;-1.86;5711;87;109;112;44;97;
2018;"Kirchengemeinden";"Bielefeld";"19022";"KG Jöllenbeck";"1902242";10150;-2.12;10155;-2.20;5583;94;87;109;56;93;
2019;"Kirchengemeinden";"Bielefeld";"19022";"KG Jöllenbeck";"1902242";9935;-2.12;9933;-2.19;5479;83;93;87;59;88;
2020;"Kirchengemeinden";"Bielefeld";"19022";"KG Jöllenbeck";"1902242";9814;-1.22;9807;-1.27;5447;80;88;97;53;118;
2021;"Kirchengemeinden";"Bielefeld";"19022";"KG Jöllenbeck";"1902242";9657;-1.60;9648;-1.62;5358;89;85;88;48;116;
2014;"Kirchengemeinden";"Bielefeld";"19022";"KG Altenhagen-Milse";"1902243";4186;;4166;;2286;39;43;54;48;24;
2015;"Kirchengemeinden";"Bielefeld";"19022";"KG Altenhagen-Milse";"1902243";4091;-2.27;4091;-1.80;2237;34;40;48;47;24;
2016;"Kirchengemeinden";"Bielefeld";"19022";"KG Altenhagen-Milse";"1902243";3955;-3.32;3950;-3.45;2167;33;37;40;45;25;
2017;"Kirchengemeinden";"Bielefeld";"19022";"KG Altenhagen-Milse";"1902243";3858;-2.45;3862;-2.23;2128;38;35;39;42;38;
2018;"Kirchengemeinden";"Bielefeld";"19022";"KG Altenhagen-Milse";"1902243";3720;-3.58;3722;-3.63;2042;23;40;35;49;27;
2019;"Kirchengemeinden";"Bielefeld";"19022";"KG Altenhagen-Milse";"1902243";3605;-3.09;3604;-3.17;1970;29;25;38;53;35;
2020;"Kirchengemeinden";"Bielefeld";"19022";"KG Altenhagen-Milse";"1902243";3409;-5.44;3410;-5.38;1875;22;30;26;53;26;
2021;"Kirchengemeinden";"Bielefeld";"19022";"KG Altenhagen-Milse";"1902243";3332;-2.26;3335;-2.20;1843;22;26;31;32;31;
2014;"Kirchengemeinden";"Bielefeld";"19022";"KG Heepen-Oldentrup";"1902249";10398;;10349;;5753;90;102;125;51;90;
2015;"Kirchengemeinden";"Bielefeld";"19022";"KG Heepen-Oldentrup";"1902249";10087;-2.99;10087;-2.53;5644;106;90;97;59;61;
2016;"Kirchengemeinden";"Bielefeld";"19022";"KG Heepen-Oldentrup";"1902249";9871;-2.14;9858;-2.27;5526;63;110;90;55;62;
2017;"Kirchengemeinden";"Bielefeld";"19022";"KG Heepen-Oldentrup";"1902249";9581;-2.94;9592;-2.70;5367;97;62;115;47;80;
2018;"Kirchengemeinden";"Bielefeld";"19022";"KG Heepen-Oldentrup";"1902249";9211;-3.86;9215;-3.93;5157;66;91;69;54;87;
2019;"Kirchengemeinden";"Bielefeld";"19022";"KG Heepen-Oldentrup";"1902249";8909;-3.28;8907;-3.34;4993;79;68;92;50;93;
2020;"Kirchengemeinden";"Bielefeld";"19022";"KG Heepen-Oldentrup";"1902249";8584;-3.65;8581;-3.66;4796;55;84;66;44;68;
2021;"Kirchengemeinden";"Bielefeld";"19022";"KG Heepen-Oldentrup";"1902249";8315;-3.13;8312;-3.13;4649;52;58;84;53;95;
2014;"Kirchengemeinden";"Bielefeld";"19022";"KG Bielefeld-Dietrich-Bonhoeffer";"1902254";8461;;8421;;4857;52;52;66;155;61;
2015;"Kirchengemeinden";"Bielefeld";"19022";"KG Bielefeld-Dietrich-Bonhoeffer";"1902254";8265;-2.32;8265;-1.85;4747;51;59;57;155;53;
